"White Slaves, African Masters: An Anthology of American Barbary Captivity Narratives";"Paul Baepler";"A escravidão dos negros pelos negros é muito maior do que pelos brancos.";"Olavo de Carvalho";"True OutSpeak";"2006-12-11";"620"
"Double Lives: Stalin, Willi Munzenberg and the Seduction of the Intellectuals";"Stephen Koch";"Como funcionou a infiltração do comunismo na cultura americana.";"Olavo de Carvalho";"True OutSpeak";"2006-12-11";"2080"
"Another Sort of Learning";"James V. Schall";"Autor é a pessoa mais lúcida e criativa na área de Educação Liberal.";"Olavo de Carvalho";"True OutSpeak";"2006-12-18";"1910"
"A Traição dos Intelectuais";"Julien Benda";"Sobre a invasão vertical dos bárbaros.";"Olavo de Carvalho";"True OutSpeak";"2006-12-18";"3170"
"Nas Sombras do Amanhã";"Johan Huizinga";"Sobre a invasão vertical dos bárbaros.";"Olavo de Carvalho";"True OutSpeak";"2006-12-18";"3170"
"A Crise do Mundo Moderno";"René Guénon";"Sobre a invasão vertical dos bárbaros.";"Olavo de Carvalho";"True OutSpeak";"2006-12-18";"3170"
"Slavery in the Arab World";"Murray Gordon";"Sobre a escravidão entre os muçulmanos.";"Olavo de Carvalho";"True OutSpeak";"2007-01-08";"1600"
"Disinformation: Media Myths That Undermine the War on Terror";"Richard Miniter";"Sobre os mitos da guerra ao terror empreendida pelos EUA.";"Olavo de Carvalho";"True OutSpeak";"2007-01-08";"2785"
"Foundations: Their Power and Influence";"Rene A. Wormser";"Já se vê a atuação dos Rockfeller's desde os anos 40 e 50.";"Olavo de Carvalho";"True OutSpeak";"2007-01-15";"3060"
"O Século do Nada";"Gustavo Corção";"Um livro que todo brasileiro deveria ler. Descreve a destruição da Igreja Católica por dentro.";"Olavo de Carvalho";"True OutSpeak";"2007-01-23";"980"
"Le point de départ de la Métaphysique";"Joseph Maréchal";"Um dos grandes livros de filosofia do século XX.";"Olavo de Carvalho";"True OutSpeak";"2007-01-23";"1560"
"A Vida Intelectual";"Antonin-Gilbert Sertillanges";"Livrou que inspirou o Prof. Olavo a dar cursos.";"Olavo de Carvalho";"True OutSpeak";"2007-01-23";"1580"
"Deliberate Dumbing Down of America";"Charlotte Thomson";"Documenta a proposital intervenção na educação para emburrecer as pessoas.";"Olavo de Carvalho";"True OutSpeak";"2007-01-30";"3120"
"La dialectique de l affirmation";"André Marc";"Melhor livro de teoria do conhecimento que alguém já escreveu.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"290"
"Insight: A Study of Human Understanding";"Bernard Lonergan";"Estuda o processo pela qual você intelige alguma coisa.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"380"
"A Crise é de Fé e é Grave";"Julio Fleichman";"Memórias do autor. conta sobre o movimento pré-conciliar do Brasil, que foi excomungado.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"2550"
"Thieves World: The Threat of the New Global Network of Organized Crime";"Claire Sterling";"Mostra que, já na primeira metade da década de 90, as várias máfias locais tinham sido todas unificadas no comando da máfia rússia. e a máfia rússia é o esquema da própria KGB.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"2830"
"Les Origines de la France contemporaine";"Hippolyte Taine";"Como se cria artificialmente uma situação pré-revolucionária. No caso da França o grande personagem da inversão de valores foi Filipe de Orléans.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"510"
"Proofs of a Conspiracy";"John Robison";"Dentro da maçonaria surgem outras sociedades com o objetivo de tornar a maçonaria uma arma da revolução.";"Olavo de Carvalho";"True OutSpeak";"2007-02-05";"880"
"La Revolution francaise ou Les prodiges du sacrilege";"Jean Dumont";"Livro difícil de achar. conta que a revolução francesa foi contra o Rei e contra a Igreja Católica e não contra os aristocratas.";"Olavo de Carvalho";"True OutSpeak";"2007-02-12";"1400"
"The Age of Minerva: Cognitive Discontinuities in Eighteenth-Century Thought";"Paul Ilie";"Estudo sobre a irracionalidade nos paradigmas do Iluminismo.";"Olavo de Carvalho";"True OutSpeak";"2007-02-26";"1380"
"Ação Humana";"Ludwig von Mises";"O melhor livro de economia que alguém já escreveu.";"Olavo de Carvalho";"True OutSpeak";"2007-02-26";"2550"
"Socialism: An Economic and Sociological Analysis";"Ludwig von Mises";"Demonstra que a economia socialista é impossível. Sempre o socialismo é um governo ditatorial, com partido único, encobrindo um capitalismo disfarçado.";"Olavo de Carvalho";"True OutSpeak";"2007-02-26";"2550"
"Theory and History – an interpretation of social and economic evolution";"Ludwig von Mises";"Demonstra que a economia socialista é impossível.";"Olavo de Carvalho";"True OutSpeak";"2007-02-26";"2550"
"Socialisme Fasciste";"Pierre Drieu La Rochelle";"Havia uma consciência clara dos nazistas de que eles eram herdeiros do movimento revolucionário.";"Olavo de Carvalho";"True OutSpeak";"2007-03-05";"2850"
"The Anatomy of Melancholy";"Robert Burton";"É um tesouro. Longo ensaio, partindo de um tratado médico. é um livro tão rico em sugestões, não tendo assunto humano que não tenha sido tratado por ele.";"Olavo de Carvalho";"True OutSpeak";"2007-03-12";"60"
"On Growth and Form";"D'Arcy Wentworth Thompson";"É um tesouro. Estudo sobre a analogia entre as formas biológicas e as formas físico-químicas. Não é um livro de discussão com a teoria da evolução, mas coloca uma dificuldade enorme para ela.";"Olavo de Carvalho";"True OutSpeak";"2007-03-12";"60"
"A Sociedade da Confiança";"Alain Peyrefitte";"Sem a confiança a vida da sociedade humana seria impossível. Confiança é a base da sociedade humana.";"Olavo de Carvalho";"True OutSpeak";"2007-03-12";"900"
"At War with the Word";"R. V. Young";"Crítica ao desconstrucionismo.";"Olavo de Carvalho";"True OutSpeak";"2007-03-12";"3160"
"Against Deconstruction";"John M. Ellis";"Crítica ao desconstrucionismo.";"Olavo de Carvalho";"True OutSpeak";"2007-03-12";"3160"
"In the Shade of the Quran";"Sayyid Qutb";"Autor é teórico da Fraternidade Muçulmana. Diz explicitamente que o muçulmano tem a obrigação de tentar derrubar um governo não-islâmico do seu país.";"Olavo de Carvalho";"True OutSpeak";"2007-03-19";"1020"
"The Fellowship: The Untold Story of Frank Lloyd Wright and the Taliesin Fellowship";"Harold ZellmanRoger Friedland";"Livro muito bem documentado. um movimento que junta uma teoria estética com uma teoria social nova, utopista etc, para formar uma comunidade em um novo estilo de vida, mais ou menos uniforme, existindo uma disciplina expressa, sempre existe alguma coisa por trás disso. ou algo ocultista ou islâmico. É o único livro que existe a respeito do assunto.";"Olavo de Carvalho";"True OutSpeak";"2007-03-19";"1740"
"The fraudulent gospel: Politics and the World Council of Churches";"Bernard Smith";"Conselho Mundial das Igrejas é uma entidade pró-comunista que até financiam movimentos terroristas.";"Olavo de Carvalho";"True OutSpeak";"2007-03-19";"1920"
"Unholy Alliance: The Definitive History of the National Council of Churches and Its Leftist Policies – From 1908 to the Present";"C. Gregg Singer";"Conselho Nacional das Igrejas é o braço nacional do conselho mundial, ou seja, também é uma entidade revolucionária.";"Olavo de Carvalho";"True OutSpeak";"2007-03-19";"1920"
